Course Name, Enrollment Term 
HHP1160, 24
HHP1166, 24
HHP1175, 24
HHP1301, 24
HHP2128, 24
HHP2195, 24
HHP3570, 24
HHP4595, 24
HHP4899, 24
HHP4930, 24
HHP4940, 24
EDAD7582, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
WRI1000, 24
MFT6938, 24
WRI1100, 24
TESL6070, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
WRI1100, 24
THEO6240, 24
WRI1100, 24
WRI1100, 24
THEO6401, 24
THEO6511, 24
THEO6513, 24
ART2205, 24
ART4969, 24
COM1101, 24
COM1321, 24
CSC3220, 24
CSC4800, 24
EE2726, 24
ENG2253, 24
ENG3003, 24
ENG4950, 24
FRE3205, 24
HIS2418, 24
HIS3387, 24
HIS3857, 24
JRN2203, 24
MAT1521, 24
MAT4402, 24
MUS1250, 24
MUS2501, 24
MUS4655, 24
PHY4311, 24
PSY3360, 24
PSY3388, 24
PSY3410, 24
PSY4428, 24
RUS2105, 24
SOC3751, 24
UFDN1000, 24
THEO2710, 24
THEO3110, 24
THEO3255, 24
THEO4402, 24
THEO4720, 24
TRE3750, 24
UFDN1000, 24
UFDN1000, 24
UFDN1000, 24
UFDN1000, 24
UFDN3001, 24
CHM3540, 24
BUS6321, 24
BUS6360, 24
BUS2700, 24
GDEV4899, 24
POL3330, 24
POL4000, 24
POL4450, 24
POL4641, 24
WRI1100, 24
WRI1100, 24
HHP3510, 24
ART3606, 24
BIO4325, 24
BUS3544, 24
BUS3690, 24
FCS2730, 25
EDU6526, 25
EDU6526, 25
ART1105, 25
ART1106, 25
ART1107, 25
ART2102, 25
ART2205, 25
ART2502, 25
ART3546, 25
BUS3614, 25
COM4605, 25
ENG2225, 25
ENG2234, 25
ENG2248, 25
ENG3311, 25
FCS3321, 25
JRN1000, 25
UCOR3000, 25
MUS2111, 25
MUS2261, 25
PHY3841, 25
PHY4520, 25
EDU7971, 25
POL4899, 25
PSY4105, 25
THEO3401, 25
THEO3640, 25
TRE2421, 25
CHM3410, 25
NUR6020, 25
ART3315, 25
BIO1101, 25
HIS3790, 25
PHY1140, 25
EDU6133, 25
BUS3250, 25
ECN2102, 25
ISM6245, 25
EDU6139, 25
BUS6164, 25
EDAD7200, 25
PSY4420, 25
MUS4226, 25
UCOR3000, 25
HHP1105, 25
HHP1108, 25
HHP1117, 25
HHP1120, 25
HHP1145, 25
HHP1155, 25
HHP1180, 25
HHP1301, 25
HHP2128, 25
HHP3555, 25
HHP3580, 25
HHP3590, 25
HHP4575, 25
HHP4590, 25
HHP4899, 25
HHP4930, 25
HHP4940, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
WRI1100, 25
ART1107, 25
ART3101, 25
ART3700, 25
CPY7149, 25
CSC3150, 25
EDAD6581, 25
EDAD6581, 25
EDRD6531, 25
PSY3460, 25
EDU4530, 25
FCS3365, 25
FCS3830, 25
FCS4310, 25
MFT6220, 25
MFT6939, 25
BIO2103, 25
BUS4275, 25
BUS6120, 25
SOC4702, 25
EDU7973, 25
EDCO6674, 25
PHY3313, 25
FCS4840, 25
BUS4644, 25
MFT6110, 25
UFDN2000, 25
UFDN2000, 25
BUS6266, 25
MAT1521, 25
POL1120, 25
UCOR3000, 25
USCH1112, 25
FCS3240, 25
NUR3956, 25
NUR3957, 25
BUS3828, 25
MFT6810, 25
BUS6202, 25
TESL6650, 25
PHY1111, 25
COM1101, 25
MFT6935, 25
FCS2110, 25
THEO3100, 25
MFT6620, 25
MFT6710, 25
CPY7033, 25
FCS4720, 25
UCOR2000, 25
UFDN3100, 25
GS3001, 25
BUS3614, 25
THEO4899, 25
COM4265, 25
COM4899, 25
BUS4899, 25
GS2001, 25
EDAD6581, 25
